name,restriction,title,bannerTextColor,bannerImage,bannerBackColor,freeOf,designation,type,understandingTitle,understandingRestriction,restrictionImage,understandingTitle2,understandingIntolerance,intoleranceImage,cautionLabel,ingredientList,ingredientStarred,foodListTitle,foodLabel,foodTitle1,foodBody1,foodImage1,foodTitle2,foodBody2,foodImage2,foodTitle 3,foodBody3,foodImage3,foodTitle4,foodBody4,foodImage4,link1,link2,link3,allergyContent,allergyContentTitle,dietContent,dietContent title
Dairy,allergy,Dairy Friendly,SecondaryColors.MutedBlue,mascot-dairy.png,SecondaryColors.Brown,"free of milk, cheese, butter, cream, yogurt, sour cream, whey, casein, and lactose",dairy-free,dairy allergy or intolerance,Understanding a Dairy Allergy,"A dairy allergy is a heightened sensitivity to dairy, the most common allergy-causing product for infants and young children. Approximately 70% of children with a dairy allergy tolerate baked cow milk, which refers to milk that has undergone extensive heating. Those who consume baked milk without adverse reactions may be more likely to outgrow their dairy allergy earlier than those who react to baked milk. ",dairy.png,Understanding a Lactose Intolerance,"Food intolerances, unlike allergies, do not involve the immune system. Lactose intolerant individuals lack the enzyme lactase needed to break down lactose, a sugar found in milk and dairy products. While uncomfortable, lactose intolerance isn't life-threatening. Common symptoms include nausea, cramps, gas, bloating, and diarrhea after consuming dairy. ",lactose.png,Here are some of the most common ingredients that you should look out for:,"Butter, Cheese, Cream, Milk, Pudding, Sour cream, Yogurt ",,,Here are some of the highest-risk foods for people with a dairy allergy or intolerance: ,Creamy Soups and Sauces,"Cream-based soups like clam chowder, creamy pasta sauces, and sauces like béchamel or hollandaise often contain dairy.",soup.png,Salads and Salad Dressings ,"Some salads may include cheese, and creamy dressings like ranch or blue cheese may contain dairy ingredients. ",salad-dressing.png,Pizza and Pasta Dishes ,Pizza with cheese and pasta dishes with creamy sauces or cheese toppings can contain dairy. ,cheesy-pasta.png,Bread and Baked Goods ,"Bread rolls, buns, and baked goods like croissants may contain butter or milk. ",cinnamon-rolls.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/milk ,https://www.foodallergy.org/resources/milk-allergy-vs-lactose-intolerance ,https://www.foodallergy.org/resources/recognizing-and-responding-reaction ,,,,
Egg,allergy,Egg Friendly,SecondaryColors.Brown,mascot-egg.png,SecondaryColors.Pink,free of eggs,egg-free,egg allergy,Understanding an Egg Allergy,"An egg allergy is a heightened sensitivity to eggs, one of the most common allergy-causing foods in infants and young children. Approximately 70% of children with an egg allergy tolerate baked egg. Additionally, most children outgrow their egg allergy, with 71% doing so by age 6. ",eggs.png,,,,Here are some of the most common ingredients that you should look out for:,"Eggnog, Mayonnaise, Meringue",,,Here are some of the highest-risk foods for people with an egg allergy: ,Baked Goods,"Cakes, cookies, pastries, muffins, and bread may contain eggs as a binding or leavening agent. ",baked-goods.png,Breakfast Foods,Common breakfast foods like pancakes or waffles commonly contain eggs and should be avoided.  ,waffle.png,Breads,"Bread may be coated with an egg wash, an egg and milk or water-based mixture to give the bread a shiny appearance. ",bread-sliced.png,Pasta,"Cooked pastas usually have eggs, while dry pastas are usually egg-free but may have cross-contamination risks. ",spaghetti.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/egg  ,https://www.foodallergy.org/resources/recognizing-and-responding-reaction ,,,,,
Fish,allergy,Fish Friendly,SecondaryColors.Red,mascot-fish.png,SecondaryColors.MutedBlue,"free of fish including anchovies, bass, catfish, cod, flounder, grouper, haddock, halibut, mahi-mahi, pike, salmon, snapper, swordfish, tilapia, trout, and tuna",fish-free,fish allergy,Understanding a Fish Allergy,"A fish allergy involves heightened sensitivity to certain types of fish. Common triggers include salmon, tuna, catfish, and cod. If someone has an allergy to one type of fish, they might be allergic to others as well, so it's advisable to avoid all fish if they have a known allergy. Fish allergies often emerge in adulthood, with around 40% of individuals experiencing their first reaction during this period. ",fish.png,,,,Here are some of the most common ingredients that you should look out for: ,"Barbecue sauce, Caesar salad and Caesar dressing. Fish oil, Fish sticks, Worcestershire sauce",,,Here are some of the highest-risk foods for people with a fish allergy: ,Sushi and Sashimi,"Traditional sushi and sashimi often contain raw or cooked fish, including salmon, tuna, eel, and mackerel.",sushi.png,Salads,"Many salads and salad dressings (notably Caesar) feature anchovies, a common fish allergen. ",caesar.png,"Multicultural Cuisines (especially African, Chinese, Indonesian, Thai, and Vietnamese) ",Dishes from multicultural cuisines may contain hidden sources of fish such as fish sauce in dishes like kimchi. Cross-contact with fish allergens is common even in fish-free options. ,kimchi.png,Sauces,Sauces like Worcestershire sauce or fish sauce (used in many Asian cuisines) may contain fish or fish-derived ingredients. ,sauces.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/fish  ,https://www.foodallergy.org/resources/recognizing-and-responding-reaction ,,,,,
Gluten,allergy,Gluten Friendly,SecondaryColors.BrightYellow,mascot-gluten.png,SecondaryColors.Green,"free of wheat flour, barley, and rye",gluten-free,gluten allergy or intolerance,Understanding Wheat Allergies and Celiac Disease,"A wheat allergy is a heightened sensitivity to wheat, which is most often reported in young children and may affect up to 1% of children in the U.S. Approximately two-thirds of children with a wheat allergy outgrow it by age 12. However, some individuals remain allergic to wheat throughout their lives. Wheat allergy and celiac disease differ; wheat allergy stems from an immune response to wheat proteins, causing allergy symptoms, while celiac disease is an autoimmune condition triggered by gluten, leading to intestinal inflammation.  ",wheat.png,,,,Here are some of the most common ingredients that you should look out for:,"Breadcrumbs, Couscous, Flour, Glucose syrup, Pasta, Semolina, Soy sauce, Wheat, Wheat grass ",,,Here are some of the highest-risk foods for people with a gluten allergy or intolerance: ,Pasta Dishes,"Many pasta dishes, such as spaghetti and macaroni, contain wheat-based pasta. ",spaghetti.png,Bread and Baked Goods,"Bread rolls, buns, croissants, and other baked goods served in restaurants may contain wheat flour. ",breads.png,Batter-Fried or Breaded Foods,"Foods that are batter-fried or breaded, such as fried chicken or fish, often contain wheat flour in the coating.",fried-chicken.png,Beer and Ale,"Many restaurants serve beer and ale, which are brewed using barley, a gluten-containing grain, making them unsafe for individuals with a gluten intolerance. ",beer.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/wheat,https://www.foodallergy.org/resources/recognizing-and-responding-reaction,,,,,
Halal,diet,Halal Diets,SecondaryColors.Green,mascot-halal.png,SecondaryColors.BrightYellow,"free of pork and alcohol, adhering to Halal dietary guidelines",halal-friendly,halal dietary preference,Understanding a Halal Diet,"A Halal diet adheres to Islamic dietary laws and regulations, primarily consisting of foods that are permissible (Halal) according to Islamic principles. This diet excludes prohibited (Haram) foods such as pork and its by-products, alcohol, and any meat that is not slaughtered according to Islamic rituals. Halal cuisine must exclude ingredients sourced from forbidden (haram) origins. Additionally, it's essential to utilize utensils and equipment that have not been exposed to prohibited substances. ",halal.png,,,,Here are some of the most common non-Halal food items that you should look out for:,"Pork and pork by-products, Alcohol and intoxicants, Meat from animals not slaughtered according to Islamic guidelines, Any food containing Haram ingredients or additives",,Halal Delights: Menu Highlights,,Grilled Chicken or Beef,Tender and flavorful grilled chicken or beef dishes prepared according to Halal standards offer a satisfying and protein-rich option for Halal diet followers. ,grilled-chicken.png,Vegetable Pilaf or Biryani,"
Aromatic rice dishes infused with spices, vegetables, and Halal-certified meats, offering a hearty and flavorful meal option suitable for Halal dietary preferences.",pilaf.png,Hummus and Pita Bread,"Smooth and creamy hummus paired with soft pita bread, providing a delicious and nutritious appetizer or snack option that is compliant with Halal dietary guidelines.",hummus.png,Falafel Wraps,"
Crispy and savory falafel wrapped in warm pita bread with fresh vegetables and tahini sauce, delivering a delightful and Halal-friendly meal choice perfect for lunch or dinner.",falafel-wrap.png,https://www.webmd.com/food-recipes/what-is-halal  ,https://www.mentalforlentils.com/dining-out-plant-based/,,,,,
Keto,diet,Keto Diets,SecondaryColors.Green,mascot-keto.png,SecondaryColors.BrightYellow,low in carbohydrates and high in healthy fats,keto-friendly,keto dietary preference,Understanding a Keto Diet,"Keto diets emphasize low carbohydrate intake, focusing on foods high in healthy fats and moderate in protein. It aims to induce a metabolic state called ketosis, where the body burns fat for fuel instead of carbohydrates. This dietary approach can aid weight loss, improve blood sugar control, and enhance overall health.",keto.png,,,,Here are some of the most common high-carb food items that you should look out for:,"Bread and baked goods, Sugary snacks and desserts, Starchy vegetables (potatoes, corn, peas), Grains (rice, wheat, oats), Sugary beverages and fruit juices",,Keto Delights: Menu Highlights,, Grilled Meats and Seafood,"Lean cuts of beef, poultry, and fish cooked without breading or sugary marinades offer a satisfying and protein-rich option for keto dieters.",meat-seafood.png,Leafy Green Salads,"Fresh salads with leafy greens, avocado, nuts, seeds, and olive oil-based dressings provide a nutrient-dense and low-carb meal choice suitable for keto followers.",leafy-salad.png,Cauliflower Rice and Zoodles," 
Substituting traditional rice or pasta with cauliflower rice or zucchini noodles (zoodles) offers a low-carb alternative that pairs well with various sauces and toppings.",zoodles.png,Cheese Platters and Charcuterie,"Assorted cheeses, cured meats, olives, and nuts arranged on a platter offer a flavorful and keto-friendly option for sharing or as a light meal.",charcuterie.png,https://www.webmd.com/diet/keto-diet-for-beginners,https://www.mentalforlentils.com/dining-out-plant-based/,,,,,
Peanut,allergy,Peanut Friendly,SecondaryColors.BrightYellow,mascot-peanut.png,SecondaryColors.Brown,free of peanuts,peanut-free,peanut allergy,Understanding a Peanut Allergy,"A peanut allergy is a heightened sensitivity to peanuts, one of the most common allergy-causing foods. Peanuts, though not true nuts, are legumes with proteins similar to those in tree nuts. Individuals allergic to peanuts might also be allergic to tree nuts. Unlike some allergies that can be outgrown, peanut and tree nut allergies often persist throughout life.",peanuts.png,,,,Here are some of the most common ingredients that you should look out for:,"Peanut oil*, Peanut butter, Beer nuts, Ground nuts, Mixed nuts","*Highly refined peanut oil is not required to be labeled as an allergen. Research indicates that most individuals with peanut allergies can consume this safely. If you have a peanut allergy, talk to your doctor to determine whether avoiding highly refined peanut oil is necessary.",,Here are some of the highest-risk foods for people with a peanut allergy: ,Cookies and Baked Goods,"Even if these items don't explicitly contain nuts, there's a chance of cross-contamination, especially in bakeries.",cookies.png,Ice Cream,"Cross-contamination is common in ice cream parlors due to shared scoops. This risk extends to soft-serve ice cream, custard, water ice, and yogurt shops that use the same dispensing equipment for various flavors.",ice-cream.png,"African, Asian (especially Chinese, Indian, Indonesian, Thai, and Vietnamese), and Mexican Food","Dishes from various global cuisines pose a significant risk of cross-contact with peanuts, even when ordering dishes without peanuts.",asian-food.png,Sauces,"Look out for peanuts as a hidden ingredient. Some sauces, like chili, may use peanuts or peanut butter as a thickening agent.",sauces.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/peanut,https://www.foodallergy.org/resources/recognizing-and-responding-reaction,,,,,
Sesame,allergy,Sesame Friendly,SecondaryColors.BrightYellow,mascot-sesame.png,SecondaryColors.Green,free of sesame,sesame-free,sesame allergy,Understanding a Sesame Allergy,"A sesame allergy is a heightened sensitivity to sesame, which has increased globally over the past two decades. Sesame seeds, derived from the sesame plant, are widely used in global cuisines, ranging from baked goods to sushi. As of January 1, 2023, sesame emerged as the ninth major allergen.",sesame.png,,,,Here are some of the most common ingredients that you should look out for:,"Benne, Breadcrumbs, Sesame flour, Sesame oil, Sesame paste, Sesame salt (gomasio), Sesame seeds, Tahini",,,Here are some of the highest-risk foods for people with a sesame allergy: ,Baked Goods,"Items such as bagels, bread, breadsticks, hamburger buns, and rolls often contain sesame seeds or sesame oil.",breads.png,Asian Cuisine,"Be cautious of dishes cooked with sesame oil, commonly found in Asian cooking.",asian-food.png,Dipping Sauces,"Baba ghanoush, hummus, and tahini sauce are commonly used as dips and dressings in Middle Eastern cuisine. ",sauces.png,Appetizer Dippers,"Sesame seeds may be found in bagel chips, pita chips, tortilla chips, crackers, and melba toast.",dippers.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/sesame,https://www.foodallergy.org/resources/recognizing-and-responding-reaction,,,,,
Shellfish,allergy,Shellfish Friendly,SecondaryColors.Brown,mascot-shellfish.png,SecondaryColors.Pink,"free of crustaceans (including shrimp, prawns, crab, and lobster) and mollusks (including clams, mussels, oysters, scallops, octopus, squid, abalone, and snail)",shellfish-free,shellfish allergy,Understanding a Shellfish Allergy,"A shellfish allergy is a heightened sensitivity to shellfish, the most common allergy-causing food for adults. Shellfish can be divided into two groups: crustaceans and mollusks. Crustacean allergies are more common than mollusk allergies, with shrimp being the top allergen for both children and adults. Unlike some allergies that can be outgrown, shellfish allergies often persist throughout life.",shellfish.png,,,,Here are some of the most common ingredients that you should look out for:,"Crustaceans:
Crab, Krill, Lobster, Prawns, Shrimp

Mollusks:
Clams, Mussels, Octopus, Oysters, Snails (escargot), Squid (calamari) ",,,Here are some of the highest-risk foods for people with a shellfish allergy: ,Pasta Dishes,"Common pasta dishes containing shellfish, such as lobster ravioli, shrimp scampi, and clam linguine, should be avoided.",scampi.png,Seafood Appetizers ,"Common appetizers containing shellfish, such as shrimp cocktail and crab cakes, should be avoided.",crab-cakes.png,Soup and Chowder,"Soups and chowders containing shellfish, such as lobster bisque and clam chowder soup, should be avoided.",chowder.png,,,,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/shellfish,https://www.foodallergy.org/resources/recognizing-and-responding-reaction,,,,,
Soy,allergy,Soy Friendly,SecondaryColors.Green,mascot-soy.png,SecondaryColors.MutedBlue,free of soybeans and soy-derived ingredients ,soy-free,soy allergy,Understanding a Soy Allergy,"A soy allergy is a heightened sensitivity to soybeans and soy-derived ingredients. Soybeans, like peanuts, are members of the legume family. Studies have shown that up to 88% of individuals with soy allergies also have a peanut allergy or sensitivity. Most children eventually outgrow their soy allergy.",soybeans.png,,,,Here are some of the most common ingredients that you should look out for:,"Edamame, Miso 
Soy oil*, Soy sauce, Tempeh, Tofu ","*Highly refined soy oil is not required to be labeled as an allergen. Research indicates that most individuals with soy allergies can consume this safely, as well as soy lecithin. If you have a soy allergy, talk to your doctor to determine whether avoiding highly refined soy oil or soy lecithin is necessary.",,Here are some of the highest-risk foods for people with a soy allergy: ,Asian Cuisine,"Dishes such as stir-fries, tofu-based dishes, and miso soup often contain soy ingredients. Even seemingly soy-free dishes may have been cooked with soy-based sauces or oils, increasing the risk of cross-contact.",asian-food.png,Grains Prepared with Soy,"Look out for soy as a hidden ingredient since it may be present in bread, pasta, tortillas, and rice dishes.",baguette.png,Soups and Stews,Soups and stews made with vegetable broth may contain soy-based ingredients for flavor enhancement.,stew.png,Sauces and Gravies,Sauces and gravies may use vegetable starches derived from soy as a thickening agent.,sauces.png,https://www.foodallergy.org/living-food-allergies/food-allergy-essentials/common-allergens/soy,https://www.foodallergy.org/resources/recognizing-and-responding-reaction,,,,,
